Url,Status
facetofacegames.com,passed
kerastase.ca,failed
herabeauty.ca,passed
faemacanada.com,passed
heretoserveyou.ca,passed
keurig.ca,blank
fastek.ca,passed
maisonlipari.ca,passed
hifiheadphones.ca,passed
keystonesportsportage.ca,passed
liquidass.com,failed
faucetexpress.ca,passed
liquidationnation.ca,failed
kibblesandbiscuits.com,passed
ca.hismileteeth.com,failed
kidskin.com,failed
littlecanadian.ca,passed
kiehls.ca,failed
hobbiesville.com,passed
liviabeauty.ca,passed
federatedtool.com,passed
hobby,blank
kinderfarmtoys.com,failed
loblaws.ca,failed
feedingsolutions.ca,passed
hobbysense.ca,passed
kinetikcycles.com,passed
lockdownsecuritycanada.ca,failed
feelgoodnatural.com,failed
kingdomtitans.ca,failed
locknlube.com,passed
fendrihan.ca,passed
londondrugs.com,failed
kingsframingandartgallery.com,passed
shop.fenrisworkshop.com,passed
hobbywholesale.com,passed
lovemedobaby.com,passed
figurineforall.ca,passed
hockeylion.ca,passed
lowcarbcanada.ca,passed
finegemscanada.com,passed
lowes.ca,passed
finlandiahealthstore.com,passed
lucifershouseofheat.com,passed
finnandfletcher.com,failed
luckyvitamin.com,passed
shop.lululemon.com,blank
firstaidkitexpress.com,passed
lvlupgames.ca,passed
feo.ca,passed
maccosmetics.ca,blank
maelyscosmetics.com,failed
mahoganyvet.ca,failed
kitchenstuffplus.com,passed
kitchenschoice.com,failed
en.maisonorphee.com,passed
kitchenalia.ca,passed
manduka.com,failed
hockeymonkey.ca,passed
ca.manduka.com,failed
florahealth.com,passed
myvetstore.ca,passed
flourconfections.com,failed
mapleairbrushsupplies.com,failed
forestcitycollectibles.com,failed
mapleandmangoes.ca,passed
fortnine.ca,failed
homecoffeesolutions.ca,blank
mapleleafsports.ca,failed
forumappliances.com,passed
frontierdental.com,failed
homedepot.ca,blank
fruitfulloffices.ca,failed
fullcycle.ca,blank
homedepot.com,passed
mapletattoosupply.com,passed
funfoods.ca,passed
homegrown,passed
marcelle.com,failed
funkytoys.net,failed
homegrownfoods.ca,failed
marchants.com,passed
outilspierreberger.com,failed
g2gcollect.com,passed
mudwtr.com,passed
muscleandstrength.com,failed
galeriedujouet.com,failed
mariposabicycles.ca,passed
outterlimits.com,passed
gameshack.ca,failed
marks.com,failed
musiccitycanada.com,passed
overheaddoorparts.ca,failed
martindeerline,passed
myeverythingstore.ca,passed
owlshollow.com,passed
gamestop.ca,failed
myostomy.ca,failed
marymaxim.ca,failed
prexhobby.com,passed
gamestreet.ca,failed
mypops.ca,failed
duelkingdom.ca,failed
paintsuppliesdirect.ca,passed
pamperedchef.ca,failed
nantelmusique.ca,passed
gamersspot.ca,passed
nationsport.ca,failed
papsmart.com,passed
gamezilla.ca,failed
gasexperts.ca,passed
gatorade.ca,failed
nationalnutrition.ca,passed
partsource.ca,passed
gearhub.ca,passed
partstown.ca,failed
naturamarket.ca,passed
plusshop.ca,passed
partycity.ca,failed
naturalfoodpantry.ca,passed
pmhobbycraft.ca,passed
party,passed
naturalhealthgarden.ca,passed
partythings.ca,passed
naturalvibe.ca,passed
natvd.com,passed
pnpgamesonline.com,passed
natureclean.ca,passed
pocomarine.com,passed
naturesante.ca,failed
pokemoncenter.com/en,failed
polytronic.ca,failed
nehealth.ca,passed
thepartywarehouse.ca,failed
pondmillspharmacy.com,failed
pastimesports.ca,failed
poolandhottubdepot.com,passed
pawstreetmarket.com,passed
pc,blank
natures,passed
peaveymart.com,passed
navage.ca,passed
peninsulapetsupplies.com,failed
pesthq.ca,failed
shopnelsonmotors.ca,passed
shopmasc.com,passed
mastermindtoys.ca,blank
pestsupplycanada.ca,passed
shopneon.com,failed
nespresso.com/ca,blank
poolproductscanada.ca,passed
matandmax.com,passed
mccalls.ca,blank
petland.ca,passed
neverwashadish.com,passed
poolsuppliescanada.ca,passed
mckenzieseeds.com,passed
petmax.ca,passed
popcollectibles.ca,failed
newrealmgames.com,passed
mcnallyrobinson.com,failed
popscity.ca,failed
petonly.ca,passed
niagaragolfwarehouse.com,passed
mec.ca,passed
prairiestudioglass.com,passed
niigs.ca,passed
mednation.ca,failed
petsmart.ca,blank
shop.pcequip.ca,passed
nintendo.com/en,failed
petvalu.ca,blank
medelco.ca,passed
nofrills.ca,failed
prettyday.com,passed
meeplemart.com,failed
petsdrugmart.ca,passed
nomadfrontiers.ca,failed
prfo.com,failed
shop.melitta.ca,passed
memoryexpress.ca,blank
shopnomads.com,passed
meta.com/ca,failed
meyespa.com,failed
northroast.com,passed
en.pharemedicadistribution.ca,passed
northstarbicycle.ca,failed
mftoys.ca,passed
nutrifarm.ca,passed
mhmbeautysupply.ca,passed
nyxcosmetics.ca,failed
primarche.ca,passed
canada.michaels.com,passed
oceansales.ca,passed
primeauvelo.com,failed
pharmacyforlife.ca,passed
microplay.ca,passed
oceanbuy.ca,passed
princesspea.ca,passed
princessauto.com,blank
pharmacy24.ca,failed
microsoft.com/en,failed
picovs.ca,passed
ohboygamesandtoys.com,blank
midcanadafasteners.shop,passed
princessabeauty.com,blank
midoco.ca,failed
ohcanadasupply.ca,failed
proamsports.ca,passed
ca.miele.ca,failed
onestopdiscountshop.ca,passed
prodetailingsupplies.ca,passed
pinknblossom.com,passed
pinoyministop.ca,blank
pinoytambayan.store,blank
mindgames.ca,passed
mindsalive.ca,blank
onesplus.ca,passed
onlinepharma.ca,failed
minidreamers.ca,failed
mintsportscardsandcollectibles.com,passed
opusartsupplies.com,passed
prohockeylife.com,failed
plantwellinc.com,passed
mirajtrading.com,passed
orka.ca,failed
purepharmacy.com,failed
plasticworld.ca,failed
puzzlemaster.ca,failed
otterwax.com,passed
missha.ca,passed
puzzlescanada.ca,failed
shopoutdoorlivingrecreation.ca,passed
boardgames.ca,passed
playvaluetoys.com,passed
qinatural.ca,failed
outdoorpros.ca,failed
playfulmindstoys.ca,passed
playmobil.ca,blank
qualitytoolsonline.ca,passed
outdoorsoriented.com,passed
mississaugahardware.ca,blank
pleasantridge.ca,passed
plumbinghubcanada.ca,blank
placide.com,failed
monin.com/ca,passed
plumbingonline.ca,passed
reddeersewing.com,passed
monkeymountain.ca,failed
racketsandrunners.ca,failed
rednails2.com,failed
monnaiecanada.com,failed
saveonshirts.ca,passed
raincity.games,failed
scheels.com/ca,failed
refineryworkwear.com,passed
monsieuremile.com,passed
ca.schleich,blank
ramakkos.com,passed
relaxacare.ca,passed
shopclublink.ca,passed
scisupply.ca,failed
sephora.com/ca/en,blank
raoulchagnon.com,failed
realcanadiansuperstore.ca,failed
reliableparts.ca,passed
moretimemoms.com,passed
shikdartrading.com,passed
shop.realsports.ca,failed
motherbase.ca,failed
remicardtrader.ca,passed
shop3d.ca,failed
renaud,blank
shopperplus.ca,passed
mountainbaby.com,blank
renodepot.com,failed
redcherrycanada.com,blank
mouser.ca,failed
renspets.com,failed
soleclean.ca,passed
shoppersdrugmart.ca,blank
replicaairguns.ca,passed
mprtools.com,passed
sonicboommusic.com,passed
myshopville.ca,failed
retrofestive.ca,passed
mrpets.ca,passed
sostechnologies.ca,passed
mtdparts.ca,failed
showandshine.ca,passed
spadepot.com,passed
revolve.com,failed
supplementscanada.com,failed
ca.shopatshowcase.com,passed
rideonbikeshop.ca,failed
spapartsoutpost.ca,passed
spiritspashop.com,blank
sportchek.ca,failed
ridleys.com,passed
rit,passed
surfthegreats.org,failed
simplehuman.ca,failed
surplustek.ca,failed
shop.rocktape.ca,passed
sosgear.ca,failed
sportradical.com,passed
roguecanada.ca,passed
sweetandsprouted.com,passed
rona.ca,failed
sportspecs.ca,passed
sweetfusion.net,failed
simpsonspharmacy.ca,passed
sportinglife.ca,failed
sweetthrills.ca,failed
rosewillie.com,passed
mysina.ca,failed
sputtergotchtoys.com,failed
sweetiepawpets.ca,passed
rossy.ca,passed
singhelectronics.ca,passed
squareshardware.ca,passed
sweetpeababy.ca,failed
royaldistributing.com,failed
runningfree.com,failed
squirtstoys.com,blank
rvpartshop.ca,passed
singlecup.ca,failed
ca.stanley1913.com,passed
rwmedical.ca,passed
switchgrocery.com,passed
staples.ca,failed
s4suspension.com,failed
skafexpress.ca,passed
sycorp.ca,failed
starfaceworld.ca,passed
syrvetcanada.ca/en,failed
sleepeh.ca,passed
starfrit.com,failed
store.tngames.ca,failed
smartsalesco.ca,passed
steedcycles.com,passed
tagalongtoys.ca,passed
smithspharmacy.ca,failed
safety1st.com/ca,passed
snaxies.com,failed
stonetowertoys.com,passed
tagliquorstores.com,passed
sail.ca,failed
sallybeauty.ca,failed
tandyleather.ca,failed
shopatstop.com,passed
salonbeautybrands.com,passed
sunriserecords.com,passed
tapestrymusic.com,passed
samkoandmikotoywarehouse.com,failed
snowbirdsweets.ca,passed
tapsgames.com,failed
sunwardhobbies.ca,passed
saniderm.ca,passed
supervacs.ca,failed
tategeneralstore.ca,failed
saveonfoods.com,failed
superiorvacuums.ca,passed
tcgtemple.ca,passed
thecyclery.ca,failed
thefloorbox.ca,failed
techvisionelectronics.com,passed
snshealth.com,passed
thenaturalfoodstore.ca,passed
snugglebugz.ca,passed
gamerstable.ca,passed
thegildedrabbit.ca,blank
theordinary.com/en,passed
socialitebeauty.ca,passed
gourmetwarehouse.ca,passed
paintspot.ca,failed
sodastream.ca,passed
shop.thegroceryoutlet.ca,passed
lapara.ca,failed
softmoc.com,failed
thehealthdepot.ca,failed
theparrotshop.ca,failed
thewigandhairsource.ca,failed
ca.theinkeylist.com,failed
playfulpiper.com,failed
tegstools.com,passed
thewoobles.com,passed
thejointcannabis.ca,failed
tenaquip.com,failed
thesource.ca,passed
therapysupply.ca,passed
thekshop.ca,passed
thestoreupstairs.com,passed
threadtheory.ca,passed
thesupplyroom.ca,passed
tistaminis.com,passed
thetoolstore.ca,passed
tjskids.com,passed
theknittingloft.ca,passed
unscentedco.com,failed
thelasthunt.com,failed
tmshobbyroom.com,failed
thelegendaryrevolutionstore.com,failed
magicstore.ca,passed
thelowcarbgrocery.com,failed
tenniszon.com,passed
ca.tommyguns.com,passed
villagetoyshop.ca,passed
terra20.com,passed
tonkatomstcgstation.ca,passed
canadianvitaminshop.com,failed
terrenswellnesscentre.ca,passed
muslimah,passed
wholisticdispensary.ca,passed
tetley.ca,passed
tooltown.ca,blank
torontonailbeautysupply.com,passed
themythicstore.com,passed
toronto,blank
tftoys.ca,passed
toysrus.ca,failed
torontopets.com,passed
torontogundam.ca,failed
toytown.ca,failed
totalsportcards.com,passed
tumbleweedtoys.ca,passed
toughworkwear.com,failed
trailheadpaddleshack.ca,blank
ca.turtlebeach.com,passed
alchemistbuds.ca,passed
toycrusaders.com,passed
treasureislandtoys.ca,passed
two,passed
trekbikes.com,failed
ultimatetools.ca,passed
thebay.com,blank
toymastersmb.ca,blank
trendytotswpg.ca,passed
ca.umbra.com,passed
thebikeshop.com,failed
toysense.ca,failed
triboutique.ca,failed
theushop.ca,failed
boardinghouse.ca,passed
toysnowman.com,passed
toysoupcanada.com,blank
truckpartsuperstore.ca,passed
thebodyshop.com/en,failed
unimarket.ca,passed
toynado.ca,passed
trueoutdoors.ca,passed
thebreederscupboard.ca,passed
unitedcanadainc.com,passed
toysonfire.ca,failed
thecajuntwostep.com,failed
vallen.ca,failed
unitedsport.ca,passed
thecamerastore.com,passed
vanillafoodcompany.ca,failed
tsc.ca,failed
thearboriststore.com,passed
v3dp.ca,passed
urban,passed
villagevitaminstore.ca,passed
urbannaturestore.ca,failed
visions.ca,passed
thecookiery.ca,passed
urbanoutfitters.com,failed
velozophie.ca,blank
myvita.ca,passed
thecostumeshoppe.com,passed
vacuumwarehouse.ca,passed
venum.com,passed
vpo.ca,failed
victoriassecret.com/ca,failed
vitamart.ca,passed
thecpapstore.ca,passed
vitalitydepot.ca,failed
vikingsnutrition.com,passed
thecrayolastore.ca,passed
vitaminplus.ca,passed
vtrgaming.ca,failed
walmart.ca,failed
wandershop.ca,passed
wtrawleigh.ca,passed
vita,passed
wahlwater.com,failed
vitashop.ca,failed
waterbridge.net,passed
wawak.ca,failed
wallacks.com,passed
waterdropfilter.ca,failed
wayfair.ca,failed
well.ca,passed
westcoastvitaminshop.com,failed
weshine.ca,passed
vitasave.ca,passed
wellwise.ca,passed
westmarine.com,failed
store.whitecrossdispensary.com,failed
westerncycle.ca,failed
viviscal.ca,passed
westcoastkids.ca,passed
wholelattelove.ca,passed
wholesaleclub.ca,failed
wildrock.net,passed
volcanicacoffee.com,passed
wicked,blank
williamsfoodequipment.com,passed
winecraftstore.ca,passed
workingsilver.com,failed
wininhealth.com,passed
woodforsheep.ca,blank
yachtshop.ca,failed
whspetshop.com,passed
yarncanada.ca,failed
yeswellness.com,passed
yeghair.ca,passed
yourcpapstore.ca,failed
yarnspirations.com,failed
yumo.ca,failed
yourspacesalons.ca,passed
ysbeauty.ca,failed
zellers.thebay.com,blank
zehrscountrymarket.com,failed
zedcollectibles.ca,passed
ziphinge.ca,blank
zonehobbies.net,failed
wiselinetools.ca,passed
zephyrepic.com,failed
zwilling.com/ca,failed
worldsportsvision.com,failed
